,TimeStamp,Challengee,Street,City,Witnesses
174,2021-05-05-02:33:09,11YzVLXq5CcwhsWm8yWBRq8taPnrcwyAuu5CLycw8F3n21WNeQD,Renaissance Dr,San Jose,14
175,2021-05-05-02:04:12,11S1bAKUon2mtZ5eLh9HX22vxJLSWqKz5xecULqg63GNQUvBehs,Harrison St,Santa Clara,3
176,2021-05-05-01:26:14,11B7Xj9fXVbFxTqST5hKrZEKsdPd1TSumSRpyadiS37AdbkjB8x,Barton Way,Menlo Park,6
177,2021-05-05-01:15:24,11DaahkWU8uRxskuqjnvn8nTBQTCYhr3mJvv2VWrpijh3fYty24,Sunnyvale Saratoga Rd,Sunnyvale,16
178,2021-05-05-01:06:57,11UrWhR43WZnvyMGgWLgLphJ8Wg69gzToT8uimagS1dPcHkNusu,Sunnyvale Saratoga Rd,Sunnyvale,7
179,2021-05-05-12:34:19,11UrWhR43WZnvyMGgWLgLphJ8Wg69gzToT8uimagS1dPcHkNusu,Sunnyvale Saratoga Rd,Sunnyvale,4
180,2021-05-05-12:05:49,112K1rnJtJo5RKTt9UXhL79UgxfE9SoZMNg3WRHkmC9wzg72j2me,Warm Springs Blvd,Fremont,2
181,2021-05-04-11:56:36,112UhStn18m82e8QYk36bGKo5gGbbS2fCaSU91gnQSJmNjsUnEyc,Eighth Ave,Menlo Park,4
182,2021-05-04-11:52:25,11Z1dwhMZkbMn5cVX1ew4EAEkMx3CdjYAAqBDWsxiydJQzbYLzP,Lindy Pl,Cupertino,25
183,2021-05-04-11:47:08,11wBbVe6DcrQjtsNTs2Uxu5Fp9oe7Fs7PQakBkE5RuTM9Lgwf4f,Skyway Ct,Fremont,11
184,2021-05-04-11:37:04,11MmvLcMzXtePpzW3HDTVCVZoYTaoweWdgMwYXbyYX7wmnzRyjX,Nelson Dr,Palo Alto,18
185,2021-05-04-11:27:22,112GhVcWHvtk2FgQoqEtvRdedeBZy8JhqmCPCydXJTDksf3avXnj,Clydelle Ave,San Jose,21
186,2021-05-04-11:19:46,11s1tqYnoPpWqW4YCgRKAQvFjteyGrDidn8qAudRpbA6ehVeDSr,Pistachio Terrace,Sunnyvale,3
187,2021-05-04-11:15:34,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
188,2021-05-04-11:13:49,1125g2dGiRxqRevEmbzQzp5DU55zKo6nREG1XxaqMcu1YfAwRro6,California Ave,Palo Alto,14
189,2021-05-04-10:56:55,11oMjTTAdnV1BYiX6SzAeRTYWmFc9bfHcDu6bkMUjiZYzGjQr2c,Channing Ave,Palo Alto,16
190,2021-05-04-10:12:50,112m4kK6mc9GC2J3NrcWQFSzgkv1N9HJAjDFc2Yw5igHGVzNhv5c,Woodland Ave,East Palo Alto,7
191,2021-05-04-10:09:23,112U9QhkyPVAsbuL4uow8yVnW2DV63Fm2Vh797VysaLR7Fj6Ps2t,Hewitt Dr,San Carlos,25
192,2021-05-04-09:32:54,11CbV8uwQmQSXhgd1of9ThBJ4esZLJ9623mPoAZzCmiiQsVs2nE,La Miel Way,Campbell,15
193,2021-05-04-09:32:04,112MLSzB94e4561N72N86fKptz33BgU2BuhGDR1rMARE36NgPUZk,Saratoga Sunnyvale Rd,Saratoga,3
194,2021-05-04-08:35:42,1126p1sNPauKKxEVkAogk6VfEuadfVf1zzJVgUURJkgUGJw9tDvD,Menzel Pl,Santa Clara,1
195,2021-05-04-08:26:32,11wBbVe6DcrQjtsNTs2Uxu5Fp9oe7Fs7PQakBkE5RuTM9Lgwf4f,Skyway Ct,Fremont,8
196,2021-05-04-08:18:12,112GZv7irEG9mKUyN4QQDKS2Y6FxqVY4DMSSBFhJYPhyLfsJZ4D6,S Sunnyvale Ave,Sunnyvale,2
197,2021-05-04-07:48:48,11w5gMGCQUv3yPLyNaP7eA4skFGaALVEv7UXL6yBiSa7DpM9eWW,High St,Palo Alto,10
